student_id,attendance_percentage,internal_marks,backlogs,family_income,dropout_risk
85,66,47,2,47955,High
86,70,34,1,13847,High
87,94,58,3,70539,High
88,95,40,0,48127,High
89,50,63,5,43798,High
90,56,97,1,53181,High
91,95,71,4,15613,High
92,45,48,1,68009,High
93,82,54,0,35630,Low
94,70,73,4,25607,High
95,89,68,2,31681,Low
96,70,67,3,59774,High
97,64,69,4,24396,High
98,52,60,1,64659,High
99,84,74,2,74452,Low
100,88,35,0,51439,High
101,70,67,3,69997,High
102,61,51,0,65606,Medium
103,73,42,5,13755,High
104,99,70,0,60156,Low
105,65,80,4,28611,High
106,64,70,1,33003,Medium
107,47,44,3,54665,High
108,53,81,0,65483,High
109,49,32,5,20689,High
110,40,61,3,64476,High
111,91,65,2,52422,Low
112,67,46,0,34986,High
113,68,97,4,71774,High
114,43,45,0,50473,High
115,41,87,1,33063,High
116,43,94,5,46362,High
117,96,74,5,72586,High
118,62,81,3,14727,High
119,60,45,4,47909,High
120,65,75,5,78873,High
121,60,87,1,61854,Medium
122,87,79,2,39889,Low
123,48,91,1,48943,High
124,99,84,5,63752,High
125,72,67,3,36586,High
126,48,34,1,20811,High
127,49,42,0,12260,High
128,61,32,5,55388,High
129,90,59,5,12421,High
130,81,100,3,73895,High
131,94,61,3,72192,High
132,52,88,2,77428,High
133,47,73,2,64577,High
134,85,88,1,75233,Low
135,97,65,2,58538,Low
136,94,35,0,12708,High
137,75,74,3,64687,High
138,44,81,5,16024,High
139,64,66,4,47709,High
140,52,86,3,30209,High
141,81,60,4,36190,High
142,73,43,5,42930,High
143,69,59,3,29807,High
144,79,63,4,30129,High
145,59,98,3,54674,High
146,99,53,3,19519,High
147,74,77,3,58965,High
148,56,39,5,29455,High
149,100,36,2,57465,High
150,91,63,4,52607,High
151,73,60,1,64684,Medium
152,71,41,1,72618,High
153,66,53,4,58680,High
154,79,33,5,27494,High
155,74,99,2,11208,Medium
156,52,49,1,63474,High
157,41,51,3,75495,High
158,98,56,1,68032,Low
159,81,55,3,29990,High
160,56,68,3,55484,High
161,66,66,5,61591,High
162,80,85,1,26804,Low
163,86,69,1,54493,Low
164,63,62,1,49966,Medium
165,63,85,1,51741,Medium
166,71,82,1,61616,Medium
167,86,96,5,71522,High
168,87,41,5,55816,High
169,69,41,5,61021,High
170,85,64,1,10478,Low
171,74,55,0,28557,Medium
172,93,30,0,72653,High
173,98,64,3,14192,High
174,99,32,5,77797,High
175,52,57,5,15919,High
176,68,63,1,49032,Medium
177,99,47,3,61643,High
178,64,94,1,38383,Medium
179,62,54,0,42322,Medium
180,47,67,5,35292,High
181,70,81,0,75402,Medium
182,48,88,1,64368,High
183,93,70,1,26321,Low
184,66,86,1,26270,Medium
185,99,31,5,48293,High
186,46,46,2,77944,High
187,78,55,4,31348,High
188,97,45,2,61867,High
189,51,68,1,46806,High
190,98,82,0,41571,Low
191,84,92,5,23829,High
192,81,79,1,46143,Low
193,75,48,5,36110,High
194,59,44,0,24240,High
195,80,84,5,11147,High
196,78,94,3,68481,High
197,99,67,2,51495,Low
198,86,87,5,66438,High
199,64,80,4,32069,High
200,75,85,0,19359,Low
201,60,31,4,79903,High
202,40,85,0,68629,High
203,60,98,0,41435,Medium
204,63,44,0,18006,High
205,52,83,2,51277,High
206,49,32,4,47054,High
207,87,42,3,73275,High
208,91,85,1,27131,Low
209,65,73,3,76065,High
210,48,79,4,43613,High
211,50,96,5,66985,High
212,87,67,2,77277,Low
213,73,99,2,48440,Medium
214,54,40,4,61937,High
215,57,92,3,56986,High
216,69,59,2,39610,Medium
217,58,64,4,46856,High
218,52,48,1,26245,High
219,80,56,0,51541,Low
220,96,50,0,27172,Low
221,100,83,4,12595,High
222,95,47,3,78289,High
223,57,78,5,56020,High
224,54,100,4,68525,High
225,59,100,4,37160,High
226,55,80,4,38140,High
227,50,76,3,64367,High
228,68,67,0,43737,Medium
229,72,76,0,25110,Medium
230,93,78,0,51151,Low
231,50,85,3,40757,High
232,78,32,3,76136,High
233,91,45,3,59295,High
234,100,72,3,58392,High
235,99,40,1,28284,High
236,62,49,4,48430,High
237,67,65,1,77458,Medium
238,58,35,1,62727,High
239,83,65,5,39844,High
240,53,97,4,28652,High
241,84,87,2,46475,Low
242,68,46,1,18740,High
243,60,40,1,63056,High
244,75,86,1,78176,Low
245,50,78,5,66911,High
246,41,41,0,79665,High
247,67,79,2,25258,Medium
248,59,62,2,33456,High
249,50,68,3,31497,High
250,77,78,1,61790,Low
251,59,55,2,31390,High
252,75,40,0,13645,High
253,55,73,2,28916,High
254,55,65,4,38257,High
255,46,71,3,46480,High
256,59,91,1,22632,High
257,55,36,5,47678,High
258,60,94,5,10012,High
259,99,47,5,15618,High
260,100,63,3,40431,High
261,85,74,4,41102,High
262,59,90,3,17389,High
263,70,33,3,33074,High
264,78,59,1,79889,Low
265,43,50,3,38878,High
266,100,78,1,63105,Low
267,45,49,2,43330,High
268,51,70,5,20581,High
269,98,40,2,75930,High
270,85,35,0,76790,High
271,98,47,3,30461,High
272,68,92,3,35178,High
273,100,60,0,10971,Low
274,42,69,2,26514,High
275,46,96,5,20888,High
276,55,45,2,18335,High
277,93,65,1,15513,Low
278,71,41,1,21387,High
279,87,95,2,66601,Low
280,93,94,2,70246,Low
281,79,46,0,60027,High
282,86,32,4,22884,High
283,81,95,5,49096,High
284,45,38,0,46650,High
285,86,49,1,62407,High
286,58,99,3,13453,High
287,72,59,1,63544,Medium
288,84,39,2,74823,High
289,95,98,1,54907,Low
290,54,37,1,67956,High
291,81,94,3,43600,High
292,66,67,0,20014,Medium
293,47,31,1,27398,High
294,94,74,5,40438,High
295,85,89,0,18123,Low
296,66,89,2,37067,Medium
297,42,33,4,61060,High
298,97,77,1,77248,Low
299,82,62,3,22099,High
300,97,48,3,11495,High
301,47,93,5,64664,High
302,49,42,1,15378,High
303,69,76,0,22387,Medium
304,97,75,1,65038,Low
305,95,46,2,60981,High
306,60,100,4,34708,High
307,99,60,3,48645,High
308,84,74,2,66015,Low
309,53,42,1,53371,High
310,67,30,4,59865,High
311,53,84,5,73495,High
312,48,43,3,66686,High
313,95,70,3,62971,High
314,93,74,3,50162,High
315,84,78,5,32184,High
316,70,89,1,52052,Medium
317,44,46,0,59433,High
318,76,82,3,16356,High
319,79,36,3,29211,High
320,41,85,3,32860,High
321,69,64,3,22297,High
322,67,51,3,47778,High
323,98,80,0,70557,Low
324,99,52,2,43681,Low
325,61,34,3,41699,High
326,76,58,2,40755,Low
327,60,39,4,56444,High
328,87,49,3,73574,High
329,95,90,3,28574,High
330,58,33,2,41359,High
331,60,48,4,10728,High
332,52,58,1,31502,High
333,100,61,0,70980,Low
334,50,90,0,18113,High
335,81,85,5,47025,High
336,83,58,5,72655,High
337,86,36,5,37048,High
338,44,61,1,71182,High
339,96,59,1,17338,Low
340,89,39,3,21991,High
341,95,47,5,11441,High
342,92,70,1,12618,Low
343,99,86,3,32168,High
344,68,53,2,39265,Medium
345,94,94,1,13998,Low
346,50,81,0,29573,High
347,69,73,2,58524,Medium
348,62,33,2,50825,High
349,41,57,5,79503,High
350,43,83,0,55306,High
351,88,92,4,12363,High
352,78,81,2,61023,Low
353,56,56,5,16861,High
354,75,58,0,59426,Low
355,59,89,3,68760,High
356,65,88,0,30034,Medium
357,99,96,5,39186,High
358,57,31,3,58802,High
359,75,52,3,49964,High
360,81,44,2,72274,High
361,60,64,0,69072,Medium
362,97,100,1,29993,Low
363,96,42,1,73284,High
364,80,60,5,58028,High
365,74,52,2,20193,Medium
366,86,76,0,12140,Low
367,90,30,1,55621,High
368,65,37,4,77413,High
369,73,81,2,56023,Medium
370,44,64,3,13671,High
371,70,67,1,41558,Medium
372,41,86,4,58760,High
373,58,32,4,17575,High
374,40,64,2,23013,High
375,78,66,4,74440,High
376,60,65,2,22416,Medium
377,88,86,1,43211,Low
378,96,99,1,27958,Low
379,42,73,3,46186,High
380,76,66,1,23776,Low
381,63,36,0,70133,High
382,93,34,0,46076,High
383,41,53,1,46303,High
384,61,85,3,55197,High
385,77,40,4,48843,High
386,84,78,2,31963,Low
387,41,50,3,41089,High
388,76,40,1,71615,High
389,47,56,0,42342,High
390,82,94,5,39176,High
391,82,39,3,35992,High
392,97,82,5,37025,High
393,45,98,3,69162,High
394,59,34,1,65531,High
395,84,37,0,43827,High
396,99,98,3,57672,High
397,50,96,4,63571,High
398,42,78,3,51963,High
399,86,60,1,50838,Low
400,41,96,0,51764,High
401,52,43,1,33063,High
402,45,42,5,53315,High
403,50,51,5,25225,High
404,59,47,4,33194,High
405,70,91,1,11461,Medium
406,69,85,4,49033,High
407,67,73,5,75453,High
408,50,38,5,76394,High
409,92,66,0,28536,Low
410,86,70,1,13788,Low
411,77,40,4,72891,High
412,82,87,3,77553,High
413,83,62,2,75179,Low
414,62,64,5,21561,High
415,58,94,4,33466,High
416,88,57,4,38583,High
417,45,75,5,47817,High
418,65,70,3,73384,High
419,98,42,3,14197,High
420,76,43,3,72793,High
421,43,83,2,23468,High
422,60,55,0,39497,Medium
423,70,100,5,74498,High
424,95,41,3,47440,High
425,100,88,3,56917,High
426,52,43,0,16739,High
427,49,50,1,40596,High
428,56,100,4,47012,High
429,48,69,2,30118,High
430,90,62,0,22331,Low
431,90,93,2,14082,Low
432,99,43,1,62000,High
433,82,32,3,15170,High
434,66,37,3,12724,High
435,62,48,4,44579,High
436,81,95,2,19323,Low
437,47,97,4,52407,High
438,95,39,0,33687,High
439,58,53,1,61739,High
440,63,70,5,25062,High
441,55,32,5,39888,High
442,95,86,3,27910,High
443,40,76,1,11986,High
444,96,62,0,17934,Low
445,82,65,5,36004,High
446,86,42,2,57886,High
447,42,73,5,42117,High
448,45,75,4,29559,High
449,69,85,1,34335,Medium
450,59,97,3,45690,High
451,92,54,1,62070,Low
452,69,44,3,41788,High
453,77,60,4,21053,High
454,61,75,2,18512,Medium
455,72,84,2,74002,Medium
456,99,63,3,46884,High
457,55,56,4,45589,High
458,79,84,4,43882,High
459,51,96,4,13883,High
460,83,55,5,22356,High
461,60,31,2,60760,High
462,98,33,0,36674,High
463,42,49,0,38407,High
464,44,35,1,63865,High
465,51,96,5,53440,High
466,90,97,0,11243,Low
467,50,71,0,26160,High
468,98,97,3,23266,High
469,44,57,0,12245,High
470,100,79,2,61298,Low
471,93,92,2,53471,Low
472,83,73,1,74060,Low
473,86,31,5,69972,High
474,67,90,3,71216,High
475,47,58,2,50826,High
476,68,70,5,24173,High
477,66,73,0,16932,Medium
478,70,83,3,40445,High
479,94,62,4,38765,High
480,80,47,5,25525,High
481,95,93,4,61931,High
482,52,35,5,29619,High
483,53,48,0,36416,High
484,43,68,4,53385,High
485,70,96,2,23532,Medium
486,90,42,1,58941,High
487,64,39,1,30343,High
488,93,86,5,36039,High
489,89,51,4,46761,High
490,41,41,3,65800,High
491,40,50,4,19060,High
492,92,54,4,65918,High
493,74,41,3,70191,High
494,49,49,0,24717,High
495,56,73,4,52015,High
496,100,44,4,10288,High
497,73,31,4,44402,High
498,90,48,0,73746,High
499,85,50,5,15962,High
500,52,31,4,59052,High
501,54,66,2,66959,High
502,87,59,2,63429,Low
503,99,62,3,50015,High
504,59,80,1,29777,High
505,58,94,1,76950,High
506,43,80,0,66671,High
507,97,51,1,20066,Low
508,53,86,5,63250,High
509,60,51,3,37395,High
510,54,78,4,30768,High
511,55,35,2,15440,High
512,79,32,5,74241,High
513,64,45,5,54417,High
514,95,75,5,20991,High
515,69,61,4,46819,High
516,97,91,4,14885,High
517,77,75,2,60981,Low
518,97,81,4,27363,High
519,90,97,0,47689,Low
520,88,31,4,66719,High
521,41,100,4,64388,High
522,89,37,1,78412,High
523,73,77,4,58968,High
524,79,36,2,55640,High
525,93,77,1,57114,Low
526,68,95,2,27924,Medium
527,48,57,4,29590,High
528,40,94,5,47976,High
529,74,38,1,68663,High
530,91,92,4,68729,High
531,97,36,1,31425,High
532,41,45,2,54721,High
533,71,91,5,10204,High
534,88,30,4,29099,High
535,50,35,3,47077,High
536,47,98,1,46681,High
537,75,71,4,79900,High
538,74,41,3,77272,High
539,99,54,5,38718,High
540,70,35,2,14710,High
541,99,39,5,31637,High
542,44,61,2,19795,High
543,74,82,3,64228,High
544,91,99,5,36695,High
545,87,38,3,11269,High
546,72,92,3,30637,High
547,59,61,5,60142,High
548,41,51,2,44519,High
549,68,93,4,20514,High
550,46,94,1,31903,High
551,48,100,5,10633,High
552,90,39,1,63991,High
553,59,80,1,34934,High
554,70,42,5,64029,High
555,97,73,1,21162,Low
556,54,54,5,41686,High
557,61,80,0,59162,Medium
558,75,66,1,13820,Low
559,83,96,2,71166,Low
560,68,70,3,12667,High
561,65,77,5,77207,High
562,65,59,0,47625,Medium
563,58,33,1,26187,High
564,69,87,5,21226,High
565,67,87,3,22969,High
566,96,84,3,11927,High
567,84,37,0,75216,High
568,73,96,5,62722,High
569,49,60,2,63114,High
570,49,71,4,55341,High
571,80,31,1,78879,High
572,87,75,5,76050,High
573,89,36,4,24234,High
574,85,55,3,64368,High
575,94,75,3,34671,High
576,53,90,2,54347,High
577,63,72,3,22575,High
578,98,73,1,20573,Low
579,50,48,5,28378,High
580,56,96,1,43068,High
581,100,46,5,28061,High
582,94,31,4,38949,High
583,72,37,5,37770,High
584,96,39,2,43932,High
585,43,35,4,75747,High
586,92,60,0,54754,Low
587,80,70,0,57945,Low
588,57,81,4,15031,High
589,77,46,0,63161,High
590,57,76,2,48096,High
591,49,49,5,21919,High
592,78,56,4,15320,High
593,40,97,4,18719,High
594,70,37,4,12946,High
595,52,96,0,73639,High
596,73,39,0,36691,High
597,89,95,0,15914,Low
598,92,34,3,60374,High
599,63,86,0,15337,Medium
600,62,41,4,48593,High
601,62,97,5,52032,High
602,73,50,0,53793,Medium
603,93,60,1,55171,Low
604,83,93,5,49883,High
605,99,75,0,35969,Low
606,76,86,2,65528,Low
607,47,95,5,38721,High
608,76,47,0,43767,High
609,78,82,3,30879,High
610,95,56,3,37321,High
611,66,93,0,18582,Medium
612,76,63,5,13249,High
613,78,60,0,48625,Low
614,79,55,4,52566,High
615,87,93,3,44740,High
616,62,58,0,29761,Medium
617,82,93,1,54703,Low
618,88,55,0,64353,Low
619,90,60,2,34050,Low
620,40,76,3,30196,High
621,98,35,1,61704,High
622,89,38,0,30091,High
623,89,87,4,47500,High
624,87,38,5,36029,High
625,87,56,3,16350,High
626,78,89,2,76067,Low
627,49,88,1,28129,High
628,77,39,1,57752,High
629,47,82,1,19113,High
630,84,77,3,65864,High
631,51,96,5,26194,High
632,86,100,2,13698,Low
633,41,51,2,11502,High
634,65,90,0,53896,Medium
635,51,56,0,70214,High
636,76,69,3,61082,High
637,95,100,1,54689,Low
638,90,66,4,63327,High
639,88,57,4,14778,High
640,56,69,2,43690,High
641,100,64,5,27132,High
642,62,30,3,68030,High
643,51,60,4,48562,High
644,74,95,2,27976,Medium
645,41,66,5,32989,High
646,100,66,0,43468,Low
647,66,34,4,75504,High
648,44,79,3,21550,High
649,64,49,4,36817,High
650,76,73,5,71455,High
651,70,100,3,50770,High
652,60,100,3,33123,High
653,91,37,4,69527,High
654,73,32,0,14985,High
655,55,53,1,45479,High
656,86,95,2,66502,Low
657,93,61,1,65436,Low
658,44,99,2,43737,High
659,42,35,4,37735,High
660,69,41,2,60481,High
661,49,54,0,36078,High
662,53,58,0,16924,High
663,77,90,0,52257,Low
664,41,64,4,74225,High
665,80,38,1,38734,High
666,42,77,0,46094,High
667,81,96,1,59777,Low
668,86,44,0,63856,High
669,47,35,4,26174,High
670,100,56,5,34408,High
671,59,47,2,75553,High
672,99,81,5,78006,High
673,90,69,4,27381,High
674,88,59,5,46147,High
675,84,39,3,43223,High
676,77,84,3,10763,High
677,100,75,1,71505,Low
678,49,43,2,32355,High
679,85,87,1,57874,Low
680,89,42,5,18416,High
681,99,48,5,48213,High
682,40,31,4,38673,High
683,76,92,2,74500,Low
684,60,46,1,13608,High
685,59,51,5,15218,High
686,66,53,2,34872,Medium
687,76,36,5,27901,High
688,48,91,4,56225,High
689,95,67,3,75381,High
690,40,83,3,14938,High
691,97,60,2,79338,Low
692,58,46,2,17899,High
693,47,36,3,25542,High
694,61,76,3,78212,High
695,92,75,5,23915,High
696,93,73,4,49055,High
697,53,30,4,52675,High
698,64,88,5,11593,High
699,85,35,4,56518,High
700,46,53,2,44113,High
701,91,82,3,41765,High
702,81,70,3,17829,High
703,65,63,2,31383,Medium
704,52,50,1,68352,High
705,98,76,3,28769,High
706,51,30,1,17779,High
707,54,43,2,24571,High
708,79,75,1,77472,Low
709,47,88,3,53000,High
710,56,51,1,73229,High
711,100,57,2,46896,Low
712,53,63,4,34912,High
713,69,60,1,14943,Medium
714,57,89,4,41642,High
715,45,54,2,75081,High
716,79,87,5,26338,High
717,78,87,5,27223,High
718,67,81,3,77215,High
719,98,32,5,56333,High
720,78,43,4,41517,High
721,71,73,2,53570,Medium
722,71,71,4,41720,High
723,59,87,1,14748,High
724,98,44,2,57384,High
725,42,59,2,13864,High
726,53,30,2,74590,High
727,78,98,2,61647,Low
728,88,44,1,37075,High
729,98,59,1,29879,Low
730,71,73,0,74322,Medium
731,80,31,5,55450,High
732,59,32,2,23015,High
733,96,76,2,53104,Low
734,55,40,1,30870,High
735,95,94,5,25190,High
736,99,44,5,34848,High
737,81,45,4,56015,High
738,83,41,2,44480,High
739,81,34,3,63098,High
740,83,95,3,76935,High
741,97,70,1,18824,Low
742,58,36,1,46399,High
743,87,39,4,72789,High
744,89,64,5,60293,High
745,47,81,1,19512,High
746,84,87,2,38427,Low
747,65,37,5,55767,High
748,65,62,4,75427,High
749,89,39,0,22178,High
750,79,92,5,21374,High
751,44,37,0,66119,High
752,86,40,5,49006,High
753,50,53,5,72416,High
754,77,37,1,31618,High
755,60,44,1,12933,High
756,100,49,3,65214,High
757,69,70,0,55362,Medium
758,78,84,2,30174,Low
759,43,72,1,52477,High
760,97,55,3,39268,High
761,89,86,0,76679,Low
762,94,100,3,16485,High
763,99,34,4,26842,High
764,65,95,5,69122,High
765,58,53,1,76145,High
766,84,44,1,41147,High
767,55,38,3,57603,High
768,87,57,1,18646,Low
769,51,99,2,61040,High
770,63,47,4,71315,High
771,42,49,4,21671,High
772,42,62,2,48663,High
773,43,89,5,16558,High
774,42,73,3,32268,High
775,95,51,3,13020,High
776,62,60,3,27656,High
777,42,39,3,15715,High
778,60,54,5,76213,High
779,53,51,4,50004,High
780,76,49,3,17876,High
781,40,88,2,11913,High
782,45,34,3,43136,High
783,99,34,5,38131,High
784,87,92,0,44849,Low
785,92,54,2,58518,Low
786,86,47,4,56085,High
787,53,53,2,20111,High
788,45,58,2,41319,High
789,53,70,4,29587,High
790,47,42,3,71304,High
791,61,39,4,72956,High
792,44,37,3,25585,High
793,61,51,1,75034,Medium
794,81,42,0,57799,High
795,89,71,2,79808,Low
796,72,48,4,60979,High
797,59,72,2,78529,High
798,87,30,2,26810,High
799,78,58,0,34461,Low
800,59,84,3,79447,High
801,58,35,1,15911,High
802,63,81,1,35197,Medium
803,72,43,1,52671,High
804,40,71,1,10004,High
805,56,33,2,56011,High
806,63,100,5,31178,High
807,51,37,4,47314,High
808,80,99,4,60997,High
809,93,42,0,39980,High
810,74,75,0,66290,Medium
811,70,69,4,52358,High
812,53,50,1,17632,High
813,71,32,1,52213,High
814,85,40,1,37742,High
815,66,85,2,76951,Medium
816,69,47,4,13924,High
817,73,75,2,34472,Medium
818,91,100,5,58111,High
819,73,34,4,31433,High
820,43,36,3,44117,High
821,43,54,5,24718,High
822,56,56,0,28365,High
823,75,89,4,20019,High
824,70,54,4,19994,High
825,86,62,5,12000,High
826,59,70,4,30515,High
827,64,37,0,12600,High
828,50,46,4,63087,High
829,75,58,4,39546,High
830,76,32,0,55961,High
831,64,100,0,33147,Medium
832,85,61,4,41201,High
833,79,71,1,38564,Low
834,84,61,1,29522,Low
835,46,43,3,24129,High
836,86,62,1,11329,Low
837,60,73,1,68949,Medium
838,48,100,3,75682,High
839,57,36,2,68190,High
840,70,40,3,73260,High
841,41,95,4,14483,High
842,46,55,5,21318,High
843,95,59,2,39826,Low
844,100,76,0,54798,Low
845,45,89,3,31634,High
846,48,74,5,70364,High
847,83,91,1,68356,Low
848,73,55,5,67639,High
849,44,88,1,51457,High
850,84,37,0,34043,High
851,59,66,0,33167,High
852,84,40,5,43023,High
853,47,91,2,16862,High
854,71,72,1,28513,Medium
855,87,66,0,56801,Low
856,76,82,5,37942,High
857,78,72,1,69156,Low
858,78,55,2,50577,Low
859,65,63,3,47928,High
860,72,33,2,46647,High
861,51,78,3,54772,High
862,92,77,4,73851,High
863,98,96,0,74174,Low
864,66,43,0,20831,High
865,76,93,4,44750,High
866,92,85,2,39736,Low
867,66,58,1,63882,Medium
868,89,79,2,62786,Low
869,82,36,3,49108,High
870,44,83,1,25309,High
871,77,81,5,55593,High
872,67,38,3,47847,High
873,96,46,3,22501,High
874,65,71,1,48006,Medium
875,75,86,2,55930,Low
876,53,59,0,68661,High
877,50,54,1,45585,High
878,83,64,0,38495,Low
879,71,50,3,49678,High
880,92,92,1,67918,Low
881,91,50,3,77690,High
882,63,31,0,33628,High
883,99,100,3,24653,High
884,81,83,5,11437,High
885,58,33,5,56528,High
886,89,95,5,25195,High
887,89,32,1,68651,High
888,93,42,2,66798,High
889,70,33,1,41465,High
890,84,79,4,76174,High
891,67,40,1,52954,High
892,50,91,2,29175,High
893,40,92,2,51120,High
894,68,38,5,44214,High
895,59,39,1,40640,High
896,76,63,4,25772,High
897,43,66,1,56545,High
898,81,99,4,38339,High
899,78,49,2,39915,High
900,49,90,5,57041,High
901,94,91,0,46124,Low
902,96,40,3,51990,High
903,44,88,0,25151,High
904,81,45,0,53850,High
905,59,48,0,61075,High
906,80,60,5,40465,High
907,80,83,1,70884,Low
908,89,57,3,66187,High
909,82,80,4,76463,High
910,47,56,5,26670,High
911,59,63,5,20811,High
912,97,61,0,67832,Low
913,51,48,1,77890,High
914,98,60,3,71814,High
915,75,77,5,31691,High
916,75,49,0,25015,High
917,49,67,2,73532,High
918,66,49,2,78876,High
919,61,72,0,27206,Medium
920,53,88,1,76823,High
921,56,38,5,34003,High
922,46,74,4,46858,High
923,91,49,0,36621,High
924,44,32,0,13420,High
925,46,49,2,54191,High
926,83,67,0,39205,Low
927,58,59,3,52944,High
928,47,49,5,60550,High
929,88,77,3,74764,High
930,47,35,3,11779,High
931,74,37,5,42001,High
932,55,53,3,11995,High
933,96,67,1,77813,Low
934,55,69,2,53738,High
935,82,73,5,24086,High
936,71,96,3,49790,High
937,48,36,5,48993,High
938,89,37,0,51685,High
939,47,96,1,72773,High
940,58,97,0,40859,High
941,87,87,1,47726,Low
942,94,99,4,22542,High
943,60,43,4,65535,High
944,97,37,0,61397,High
945,70,95,1,43019,Medium
946,77,94,2,26585,Low
947,58,66,3,18825,High
948,90,92,4,67783,High
949,79,57,5,46847,High
950,53,51,4,47466,High
951,74,81,3,43999,High
952,40,86,5,74201,High
953,52,87,5,17442,High
954,41,41,4,46212,High
955,46,85,2,55986,High
956,83,52,2,68341,Low
957,40,50,0,11168,High
958,45,81,5,68169,High
959,42,31,0,75448,High
960,85,35,3,47868,High
961,84,77,4,30705,High
962,68,78,5,18250,High
963,64,46,4,53932,High
964,50,85,3,56551,High
965,51,61,0,55028,High
966,48,79,3,62995,High
967,42,59,0,27631,High
968,78,95,0,44058,Low
969,81,81,2,63222,Low
970,40,35,5,55771,High
971,93,100,4,12137,High
972,94,99,5,64942,High
973,47,41,5,57774,High
974,70,86,5,67849,High
975,52,39,2,22902,High
976,79,35,4,60826,High
977,54,71,5,25622,High
978,73,62,1,49563,Medium
979,54,82,4,25622,High
980,49,53,2,76640,High
981,97,30,1,11548,High
982,59,85,4,43656,High
983,70,79,2,26118,Medium
984,47,44,1,45352,High
985,42,68,4,69138,High
986,76,49,0,76384,High
987,45,72,0,76226,High
988,68,87,3,38765,High
989,79,87,3,60871,High
990,50,39,5,26703,High
991,52,100,3,15098,High
992,60,83,4,55382,High
993,89,31,5,22461,High
994,46,69,3,70016,High
995,86,65,2,15812,Low
996,49,71,1,61878,High
997,98,77,0,14615,Low
998,74,43,1,38902,High
999,65,30,4,57767,High
1000,58,83,1,36129,High
